Name,Size,Type,Tag,Alignment,Fly/Hover/Swim,CR,Source book,Source page,Spell user,Legendary actions,Lair actions,Abilities,Actions,Reaction,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other,,Credits
Adult Red Dragon,Huge,Dragon,,Chaotic evil,,17,MM,98,n,y,y,,,,,,,,,x,x,,,,,,,
Adult Rime Worm,Large,Elemental,,Neutral,,6,ToB,327,n,n,n,,,,ø,,,,,,,,,,,,,
Adult Sea Dragon,Huge,Dragon,,Neutral evil,,16,ToB,135,n,y,y,,,,,,,,,,,,,ø,,,,
Adult Silver Dragon,Huge,Dragon,,Lawful good,,16,MM,117,n,y,y,,,,,,,,,,x,,,,x,,,
Adult Void Dragon,Huge,Dragon,,Chaotic neutral,,14,ToB,139,n,y,y,,,,,,,,,,,,,,,ø,,
Adult Wasteland Dragon,Huge,Dragon,Dragon,Chaotic evil,,17,CC,119,n,y,y,Legendary Resistance,"Multiattack, Bite, Claw, Frightful Presence, Warped Energy Breath",,,,,,,,,,,,,,,
Adult White Dragon,Huge,Dragon,,Chaotic evil,,13,MM,101,n,y,y,,,,x,,,,,,,,,,,,,
Adult Wind Dragon,Huge,Dragon,,Chaotic neutral,,17,ToB,143,y,y,y,,,,,,,,,,ø,,,,,,,
Aerial servant,Medium,Fiend,,Neutral,,9,FEF,7,n,n,n,,,,,,x,,x,,x,,,,,,,
Aerisi Kalinoth,Medium,Humanoid,Elf,Neutral evil,,7,PotA,193,y,n,n,,,,,,,,,,,,,,,,,
Aerisi Kalinoth (with Lair Actions),Medium,Humanoid,Elf,Neutral evil,,9,PotA,193,y,n,y,,,,,,,,,,,,,,,,,
Agnibarra,Small,Monstrosity,,Chaotic neutral,,1,CC,9,n,n,n,,,,,,,,,,x,,,,,,,
Ahmaergo,Medium,Humanoid,Dwarf,Lawful evil,,9,WDH,193,n,n,n,,,,,,,,,,,,,,ø,,,
Ahu-Nixta,Large,Aberration,,Neutral evil,,3,CC,11,y,n,n,,,,,,,,,,,,,,,,,
Ahuizotl,Small,Monstrosity,,Unaligned,,2,CC,10,n,n,n,,,,,,,,,,,,,,,,,
Air Elemental,Large,Elemental,,Neutral,,5,MM,124,n,n,n,,,,,,x,,,,x,,,,,,,
Air Elemental Myrmidon,Medium,Elemental,,Neutral,,7,PotA,212,n,n,n,,,,,,ø,,,,ø,,,,,,,
Air Elemental Myrmodon,Medium,Elemental,,Neutral,,7,MToF,202,n,n,n,,,,,,ø,,,,ø,,,,,,,
Al-Aeshma,Large,Elemental,Genie,Chaotic evil,,9,ToB,211,y,n,n,,,,,,ø,,,,,,,,,ø,,
Ala,Medium,Fey,,Chaotic evil,,8,ToB,13,n,n,n,,,,,,,ø,,,,ø,,,,,,
Alabasta Tree,Huge,Celestial,Planar Flora,Neutral good,,7,CC,301,n,n,n,,,,,,,,,,,,,,,,,
Albino Death Weasel,Large,Beast,,Unaligned,,1,CC,374,n,n,n,,,,,,,x,x,,,,,,,,,
Albino Dwarf Warrior,Medium,Humanoid,Dwarf,Any alignment,,1/4,ToA,210,n,n,n,,,,,,,,,,,,,,,,,
Alchemical Apprentice,Small,Ooze,,Unaligned,,1,CC,281,n,n,n,,,,,,,,,,,,,,x,,,
Alchemical Golem,Large,Construct,,Unaligned,,9,CC,192,n,n,n,"Alchemical Infusion, Elemental Expulsion, Immutable Form, Magic Resistance, Magic Weapons","Multiattack, Slam, Poison Breath",,,,,,,,,,,,,,,
Alchemist Archer,Medium,Humanoid,Elf,Any,,10,CC,141,n,n,n,"Alchemical Arrows, Fey Ancestry, Hunter's Aim","Multiattack, Scimitar, Longbow",,,,,,,,,,,,,,,
Alchoon,Medium,Undead,Mindflayer,Any evil,,10,VGtM,172,y,n,n,,,,,,,,,,,,x,,,,,
Aldani ,Medium,Monstrosity,Lobsterfolk,Lawful neutral,,1,ToA,210,n,n,n,,,,,ø,,,,,,,,ø,,,,
Alehouse Drake,Tiny,Dragon,,Chaotic neutral,,1/2,ToB,148,y,n,n,,,,,,,,,,,,,,ø,,,
Algoid,Medium,Plant,,Neutral,,3,FEF,8,n,n,n,,,,,,,x,,,,x,,,,,,
Algorith,Medium,Celestial,,Lawful neutral,,10,ToB,14,n,n,n,,,,,,,,,,,,,,,ø,,
Alkilith,Medium,Fiend,Demon,Chaotic evil,,11,MToF,130,n,n,n,,,,,,,,,,,,x,,x,ø,,
Alkonost,Small,Monstrosity,,Neutral,,1/2,CC,12,n,n,n,,,,,x,,,,,x,,,,,,,
Allip,Medium,Undead,,Neutral evil,,5,MToF,116,n,n,n,,,,,,,,,,,x,,,x,,,
Alliumite,Small,Plant,,Neutral,,1/4,CC,13,n,n,n,,,,,,,,x,,,,,,,,,
Allosaurus,Large,Beast,Dinosaur,Unaligned,,2,MM,79,n,n,n,,,,,,,,x,,,,,,,,,
Almiraj,Small,Beast,,Unaligned,,0,ToA,211,n,n,n,,,,,,,,,,,,,,,,,
Alnaar,Large,Fiend,Demon,Chaotic evil,,9,CC,82,n,n,n,"Skin of the Forge, Starving Wrath","Multiattack, Fiery Fangs, Flare",On the Hunt,,,,,,,,,,,,,,
Alp,Small,Fey,Shapechanger,Chaotic neutral,,1,CC,14,y,n,n,,,,,,,,x,,,,,,,,,
Alpha Yek,Medium,Fiend,Demon,Chaotic evil,,9,CC,95,n,n,n,"Magic Resistance, Pack Tactics","Multiattack, Bite, Claw, Bone Shard",,,,,,,,,,,,,,,
Alseid,Medium,Monstrosity,,Chaotic neutral,,1/2,ToB,15,n,n,n,,,,,,,ø,,,,,,,,,,
Alseid Grovekeeper,Medium,Monstrosity,,Chaotic neutral,,3,ToB,15,n,n,n,,,,,,,ø,ø,,,,,,,,,
Alter Flame Golem,Large,Construct,,Neutral,,10,CC,193,n,n,n,"Aversion to Water, Death Burst, False Appearence, Fire Absorbtion, Immutable Form, Magic Resistance","Multiattack, Slam, Flame Breath",,,,,,,,,,,,,,,
Alynn,Medium,Humanoid,Half-elf,Unaligned,,10,MaDC,95,n,y,n,,,,,,,,,,,,,,ø,,,
Ambush Drake,Medium,Dragon,,Unaligned,,1/2,HotDQ,88,n,n,n,,,,,,,,,,,,,,,,,
Ammalia Cassalanter,Medium,Humanoid,Human,Lawful evil,,5,WDH,193,y,n,n,,,,,,,,,,,,,,ø,,,
Ammut,Large,Celestial,,Neutral,,9,CC,15,n,n,n,,,,,,,,,,,,,,,,,
Amnizu,Medium,Fiend,Devil,Lawful evil,,18,MToF,164,y,n,n,,,,,,,,,,,,,,,ø,,
Amphiptere,Medium,Beast,,Unaligned,,3,ToB,16,n,n,n,,,,,,,ø,,ø,ø,ø,,,,,,
Amphoron of yothri juggernaut,Large,Construct,,Neutral,,6,FEF,10,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Amphoron of yothri warrior,Medium,Construct,,Neutral,,2,FEF,10,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Amphoron of yothri worker,Small,Construct,,Neutral,,1/2,FEF,9,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Anarch,Small,Humanoid,Any Race,Chaotic neutral,,1/4,GGtR,239,n,n,n,,,,,,,ø,ø,ø,,,,,ø,,,
Ancient Black Dragon,Gargantuan,Dragon,,Chaotic evil,,21,MM,87,n,y,y,,,,,,,,,,,x,,,,,,
Ancient Blue Dragon,Gargantuan,Dragon,,Lawful evil,,23,MM,90,n,y,y,,,,,x,x,,,,,,,,,,,
Ancient Brass Dragon,Gargantuan,Dragon,,Chaotic good,,20,MM,104,n,y,y,,,,,,x,,,,,,,,,,,
Ancient Bronze Dragon,Gargantuan,Dragon,,Lawful good,,22,MM,107,n,y,y,,,,,x,,,,,,,,,,,,
Ancient Chronomancer,Medium,Humanoid,Construct,Neutral,,7,MaDC,20,y,n,n,,,,,,,,,,,,,,ø,ø,,
Ancient Copper Dragon,Gargantuan,Dragon,,Chaotic good,,21,MM,110,n,y,y,,,,,,,,,x,,,,,,,,
Ancient Flame Dragon,Gargantuan,Dragon,,Chaotic evil,,24,ToB,128,n,y,y,,,,,,,,,ø,ø,,,,,,,
Ancient Gold Dragon,Gargantuan,Dragon,,Lawful good,,24,MM,113,n,y,y,,,,,,,x,x,,,,,,,,,
Ancient Green Dragon,Gargantuan,Dragon,,Lawful evil,,22,MM,93,n,y,y,,,,,,,x,,,,,,,,,,
Ancient Light Dragon,Gargantuan,Dragon,Dragon,Neutral good,,22,CC,116,n,y,y,"Ethereal Sight, Illumination, Incorporeal Movement, Legendary Resistance, Void Traveler","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapon",,,,,,,,,,,,,,,
Ancient Mandriano,Huge,Plant,,Lawful evil,,8,CC,261,n,n,n,,,,,,,,,,,,,,,,,
Ancient Mithral Dragon,Gargantuan,Dragon,,Neutral,,18,ToB,132,y,y,n,,,,,,,,,,,,ø,,,,,
Ancient Red Dragon,Gargantuan,Dragon,,Chaotic evil,,24,MM,97,n,y,y,,,,,,,,,x,x,,,,,,,
Ancient Sea Dragon,Gargantuan,Dragon,,Neutral evil,,22,ToB,135,n,y,y,,,,,,,,,,,,,ø,,,,
Ancient Silver Dragon,Gargantuan,Dragon,,Lawful good,,23,MM,116,n,y,y,,,,,,,,,,x,,,,x,,,
Ancient Titan,Gargantuan,Celestial,,Neutral good,,12,ToB,380,n,n,n,,,,,ø,,,,,,,,ø,,,,
Ancient Void Dragon,Gargantuan,Dragon,,Chaotic neutral,,24,ToB,138,n,y,y,,,,,,,,,,,,,,,ø,,
Ancient Wasteland Dragon,Gargantuan,Dragon,Dragon,Chaotic evil,,23,CC,120,n,y,y,Legendary Resistance,"Multiattack, Bite, Claw, Frightful Presence, Warped Energy Breath",,,,,,,,,,,,,,,
Ancient White Dragon,Gargantuan,Dragon,,Chaotic evil,,20,MM,100,n,y,y,,,,x,,,,,,,,,,,,,
Ancient Wind Dragon,Gargantuan,Dragon,,Chaotic neutral,,22,ToB,142,y,y,y,,,,,,,,,,ø,,,,,,,
Andrenjinyi,Gargantuan,Celestial,,Neutral,,15,ToB,18,y,n,n,,,,,ø,,,,,,,,ø,,,,
Androsphinx,Large,Monstrosity,,Lawful neutral,,17,MM,281,y,y,y,,,,,,x,,,,,,,,,,,
Angatra,Medium,Undead,,Neutral evil,,6,ToB,19,n,n,n,,,,,,,,,,,,,,ø,,,
Angler Worm,Huge,Monstrosity,,Unaligned,,4,ToB,22,n,n,n,,,,,,,,,ø,ø,,ø,,,,,
Animated Armor,Medium,Construct,,Unaligned,,1,MM,19,n,n,n,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,,
Animated Table,Large,Construct,,Unaligned,,2,TftYP,230,n,n,n,,,,,,,,,,,,,,ø,,,
Ankheg,Large,Monstrosity,,Unaligned,,2,MM,21,n,n,n,,,,,,,x,x,,,,,,,,,
Ankou,Gargantuan,Dragon,,Neutral,,21,CC,36,n,y,y,,,,,,,,,,,,,,,,,
Ankou Soul Seeker,Large,Dragon,,Neutral,,8,CC,38,n,n,n,,,,,,,,,,,,,,,,,
Ankylosaurus,Huge,Beast,Dinosaur,Unaligned,,3,MM,79,n,n,n,,,,,,,,x,,,,,,,,,
Ankylosaurus Zombie,Huge,Undead,Dinosaur,Unaligned,,3,ToA,240,n,n,n,,,,,,,ø,,,,,ø,,,,,
Annis Hag,Large,Fey,Hag,Chaotic evil,,6,VGtM,159,y,n,n,,,,,,,,,x,x,,,,,,,
Anophiloi,Small,Monstrosity,,Neutral,,1,CC,39,n,n,n,,,,,,,x,x,,,,,,,,,
Ant lion,Large,Beast,,Unaligned,,4,FEF,11,n,n,n,,,,,,x,,,,,,,,,,,
Anubian,Medium,Elemental,,Chaotic evil,,2,ToB,24,n,n,n,,,,,,ø,,,,,,ø,,,,,
Apau Perape,Large,Fiend,Demon,Chaotic evil,,6,ToB,75,y,n,n,,,,,,,ø,,,,,,,,ø,,
Ape,Medium,Beast,,Unaligned,,1/2,MM,317,n,n,n,,,,,,,x,,,,,,,,,,
Apprentice Wizard,Medium,Humanoid,Any Race,Any alignment,,1/4,VGtM,209,y,n,n,,,,,,,,,,,,,,x,,,
Apprentice Wizard,Medium,Humanoid,Any Race,Any alignment,,1/4,WDH,194,y,n,n,,,,,,,,,,,,,,ø,,,
Arachnid Queen,Huge,Beast,,Unaligned,,3,MaDC,2,n,n,n,,,,,,,ø,,ø,,,ø,,,,,
Aranea,Large,Monstrosity,,Chaotic evil,,3,FEF,13,n,n,n,,,,,,,x,,,x,x,x,,,,,
Arbeyach,Large,Fiend,Devil,Lawful evil,,21,ToB,95,y,y,n,,,,,,,,,,,,,,,ø,,
Arborcyte,Large,Plant,,Neutral,,8,CC,40,n,n,n,,,,,,,,,,,,,,,,,
Arboreal Grappler,Medium,Aberration,,Neutral evil,,3,ToB,25,n,n,n,,,,,,,ø,,,,ø,,,,,,
Arcamag,Tiny,Monstrosity,Shapechanger,Neutral,,2,CC,41,n,n,n,,,,,,,,,,,,,,,,,
Arcanaloth,Medium,Fiend,Yugoloth,Neutral evil,,12,MM,313,y,n,n,,,,,,,,,,,,,,,ø,,
Arcanamite,Small,Monstrosity,,Unaligned,,1,MaDC,3,n,n,n,,,,,,,,,,,,ø,,,,,
Arcanaphage,Medium,Monstrosity,,Unaligned,,4,CC,42,n,n,n,,,,,,,,,,,,,,,,,
Arcane Guardian,Medium,Undead,,Neutral evil,,6,ToB,358,y,n,n,,,,,,,,,,,,,,ø,,,
Arcanoplasm,Large,Monstrosity,,Neutral,,4,FEF,14,n,n,n,,,,,,,,,,,,x,,,,,
Arch-Devil Belphegor,Huge,Fiend,Devil,Lawful evil,,22,CC,100,n,y,n,"Builder of Hell, Legendary Resistance, Lord of Openings, Magic Weapon, Pitted Sockets, Prime","Multiattack, Soul Flail, Endless Complexity",Form the Chain,,,,,,,,,,,,,,
Arch-Devil Parzelon,Huge,Fiend,Devil,Lawful evil,,25,CC,101,y,y,n,"Fear Aura, Legendary Resistance, Magic Resistance, Magic Weapon, Spellcasting","Multiattack, Bite, Sepentine Lash, Summon Devil",,,,,,,,,,,,,,,
Archaeopteryx,Tiny,Beast,Dinosaur,Unaligned,,1/4,CC,108,n,n,n,Flyby,"Multiattack, Beak, Talons",,,x,,x,,,,x,,,,,,
Archdruid,Medium,Humanoid,Any Race,Any alignment,,12,VGtM,210,y,n,n,,,,x,x,x,x,x,x,x,x,,x,,,,
Archdruid,Medium,Humanoid,Any Race,Any alignment,,12,WDotMM,311,y,n,n,,,,,,,,,,,,ø,,,,,
Archer,Medium,Humanoid,Human,Unaligned,,1/4,MaDC,91,n,n,n,,,,,,,,,,,,,,ø,,,
Archer,Medium,Humanoid,Any Race,Any alignment,,3,VGtM,210,n,n,n,,,,,,,x,,,,,,,x,,,
Archmage,Medium,Humanoid,Any Race,Any alignment,,12,MM,342,y,n,n,,,,,,,,,,,,,,x,,,
Archon of the Triumvirate,Medium,Celestial,,Lawful neutral,,14,GGtR,192,y,y,n,,,,,,,,,,,,,,ø,,,
Arclight Phoenix,Medium,Elemental,,Chaotic neutral,,12,GGtR,193,n,n,n,,,,,,,,,,,,,,ø,ø,,
Aridni,Small,Fey,,Neutral evil,,5,ToB,26,y,n,n,,,,,,,ø,,ø,,ø,,,,,,
Armanite,Medium,Fiend,Demon,Chaotic evil,,7,MToF,131,n,n,n,,,,,,,,,,,,x,,,ø,,
Armed Skeleton,Medium,Undead,,Lawful evil,,1,MaDC,4,n,n,n,,,,,,,,,,,,,,ø,,,
Armor Sliver,Large,Monstrosity,Sliver,Neutral evil,,3,MaDC,185,n,n,n,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,,
Armory Golem,Large,Construct,,Unaligned,,7,CC,194,n,n,n,"Armory Exploit, Focus Weakness, Immutable Form, Magic Resistance, Magic Weapons","Multiattack, Polearm Strike, Crossbow Barrage, Shield Wall",,,,,,,,,,,,,,,
Artificer of yothri,Medium,Aberration,,Chaotic evil,,5,FEF,15,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Artus Cimber,Medium,Humanoid,Human,Neutral good,,7,ToA,212,n,n,n,,,,,,,,,,,,,,,,,
Asanbosam,Large,Aberration,,Chaotic evil,,5,ToB,27,n,n,n,,,,,ø,,ø,,ø,,ø,,,,,,
Ascomoid,Large,Plant,Fungus,Unaligned,,3,FEF,16,y,n,n,,,,,,,,,,,,x,,,,,
Ash Drake,Small,Dragon,,Neutral evil,,4,ToB,149,n,n,n,,,,,,,,,,,,,,ø,,,
Assassin,Medium,Humanoid,Any Race,Any non-good,,8,MM,343,n,n,n,,,,,,,,,,,,,,x,,,
Assassin bug,Medium,Beast,,Unaligned,,5,FEF,170,n,n,n,,,,,,,x,,x,,x,,,,,,
Assassin Vine,Large,Plant,,Unaligned,,3,ToA,213,n,n,n,,,,,,,ø,,,,,,,,,,
Astral Dreadnought,Gargantuan,Monstrosity,Titan,Unaligned,,21,MToF,117,n,y,n,,,,,,,,,,,,,,,ø,,
Astral moth,Large,Monstrosity,,Any neutral,,1/8,FEF,18,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Astral shark,Large,Fiend,,Neutral,,5,FEF,19,n,n,n,,,,,,,,,,,,,,,x,,
Astral Snapper,Medium,Aberration,,Neutral evil,,3,CC,43,n,n,n,,,,,,,,,,,,,,,,,
Astropal,Huge,Undead,Titan,Neutral evil,,13,ToA,214,n,y,n,,,,,,,,,,,,,,ø,ø,,
Aurelia,Medium,Celestial,Angel,Lawful good,,23,GGtR,230,n,y,n,,,,,,,,,,,,,,ø,ø,,
Aurochs,Large,Beast,,Unaligned,,2,VGtM,207,n,n,n,,,,,,,,x,x,x,,,,,,,
Aurumvorax,Small,Monstrosity,,Unaligned,,5,FEF,20,n,n,n,,,,,x,,x,x,x,,,,,,,,
Automata,Large,Fiend,Devil,Lawful evil,,10,ToB,102,y,n,n,,,,,,,,,,,,,,,ø,,
Autumn Eladrin,Medium,Fey,Elf,Chaotic neutral,,10,MToF,195,y,n,n,,,,,,,x,,,,,,,,,,
Avatar of Boreas,Medium,Elemental,,Chaotic evil,,17,ToB,42,y,y,n,,,,ø,,,,,,ø,,,,,,,
Avatar of Shoth,Gargantuan,Aberration,Shoth,Lawful neutral,,21,CC,331,y,y,y,,,,,,,,,,,,,,,,,
Awakened Shrub,Small,Plant,,Unaligned,,0,MM,317,n,n,n,,,,,,,x,,,,,,,,,,
Awakened Tree,Huge,Plant,,Unaligned,,2,MM,317,n,n,n,,,,,,,x,,,,,,,,,,
Awakened Zurkhwood,Huge,Plant,,Unaligned,,2,OotA,230,n,n,n,,,,,,,ø,,,,,,,,,,
Axe Beak,Large,Beast,,Unaligned,,1/4,MM,317,n,n,n,,,,,,,,x,x,,,,,,,,
Azbara Jos,Medium,Humanoid,Human,Lawful evil,,4,HotDQ,88,y,n,n,,,,,,,,,,,,,,,,,
Azeban,Medium,Fey,,Chaotic neutral,,4,CC,44,y,n,n,,,,,,,,,,,,,,,,,
Azer,Medium,Elemental,,Lawful neutral,,2,MM,22,n,n,n,,,,,,,,,,,,,,,ø,,
Azi Dahaka,Huge,Dragon,,Chaotic evil,,14,CC,45,n,n,n,,,,,,,,,,,,,,,,,
Azure Enchanter,Medium,Humanoid,Any Race,Any alignment,,7,MaDC,5,y,n,n,,,,,,,,,,,,,,ø,,,
Azure Mind Sculptor,Medium,Humanoid,Any Race,Any alignment,,10,MaDC,5,y,n,n,,,,,,,,,,,,,,ø,,,
Azza Gremlin,Small,Fey,,Neutral,,1/4,ToB,28,n,n,n,,,,,,,,,,,,,,,ø,,
Baba Lysaga,Medium,Humanoid,"Human, Shapechanger",Chaotic evil,,11,CoS,228,y,n,n,,,,,,,ø,,,,ø,,,,,,
Baba Lysaga's Creeping Hut,Gargantuan,Construct,,Unaligned,,11,CoS,226,n,n,n,,,,,,,ø,,,,ø,,,,,,
Baba Yaga,Medium,Fey,,Chaotic neutral,,20,CC,46,y,y,n,,,,,,,,,,,,,,,,,
"Baba Yaga’s Horsemen, Base",Medium,Fey,,Lawful neutral,,11,ToB,30,y,n,n,,,,ø,,ø,,,ø,ø,,,,,,,
Babau,Medium,Fiend,Demon,Chaotic evil,,4,VGtM,136,y,n,n,,,,,,,,,,,,x,,x,,,
Baboon,Small,Beast,,Unaligned,,0,MM,318,n,n,n,,,,,,,x,,x,,,,,,,,
Baby Tanglewyrm,Large,Beast,Wyrm,Unaligned,,6,MaDC,200,n,n,n,,,,,,,,,,ø,,ø,,,,,
Badger,Tiny,Beast,,Unaligned,,0,MM,318,n,n,n,,,,,,,x,,,,,,,,,,
Bael,Large,Fiend,"Devil, Archdevil",Lawful evil,,19,MToF,170,y,y,n,,,,,,,,,,,,,,,ø,,
Bagiennik,Medium,Aberration,,Chaotic neutral,,3,ToB,31,n,n,n,,,,,,,ø,,,,ø,,,,,,
Balhannoth,Large,Aberration,,Chaotic evil,,11,MToF,119,n,y,y,,,,,x,,,,,x,,x,,,,,
Balor,Huge,Fiend,Demon,Chaotic evil,,19,MM,55,n,n,n,,,,,,,,,,,,,,,ø,,
Banderbobb,Large,Monstrosity,,Neutral evil,,5,VGtM,122,n,n,n,,,,,,,,,,,,,,x,,,
Bandit,Medium,Humanoid,Any Race,Any non-lawful,,1/8,MM,343,n,n,n,,,,x,x,x,x,,x,,,,x,,,,
Bandit Captain,Medium,Humanoid,Any Race,Any non-lawful,,2,MM,344,n,n,n,,,,x,x,x,x,,x,,,,x,,,,
Bandit Lord,Medium,Humanoid,,Any non-lawful,,4,ToB,418,n,n,n,,,,,,,,,,,,,,ø,,,
Baneling,Small,Fiend,Demon,Chaotic evil,,1/2,MaDC,6,n,n,n,,,,,,,,,,,,,,,ø,,
Banshee,Medium,Undead,,Chaotic evil,,4,MM,23,n,n,n,,,,,x,,x,,,,,,,,,,
Baphomet,Huge,Fiend,"Demon, Lord",Chaotic evil,,23,MToF,143,y,y,y,,,,,,,,,,,,,,,ø,,
Baphomet,Huge,Fiend,Demon,Chaotic evil,,23,OotA,235,y,y,y,,,,,,,,,,,,,,,ø,,
Bar Brawl,Huge,Humanoid,Swarm,Unaligned,,3,CC,48,n,n,n,,,,,,,,,,,,,,,,,
Barbed Devil,Medium,Fiend,Devil,Lawful evil,,5,MM,70,n,n,n,,,,,,,,,,,,,,,ø,,
Bard,Medium,Humanoid,Any Race,Any alignment,,2,VGtM,211,y,n,n,,,,,,,,,,,,,,x,,,
Bard,Medium,Humanoid,Any Race,Any alignment,,2,WDH,195,y,n,n,,,,,,,,,,,,,,ø,,,
Barghest,Large,Fiend,Shapechanger,Neutral evil,,4,TftYP,230,y,n,n,,,,,,,ø,ø,ø,ø,,ø,,,,,
